"","cluster","spot"
"spot1501",1,"spot1501"
"spot1502",1,"spot1502"
"spot1503",1,"spot1503"
"spot1504",1,"spot1504"
"spot1505",1,"spot1505"
"spot1506",1,"spot1506"
"spot1507",1,"spot1507"
"spot1508",1,"spot1508"
"spot1509",1,"spot1509"
"spot1511",1,"spot1511"
"spot1513",1,"spot1513"
"spot1514",1,"spot1514"
"spot1515",1,"spot1515"
"spot1516",1,"spot1516"
"spot1517",1,"spot1517"
"spot1518",1,"spot1518"
"spot1519",1,"spot1519"
"spot1521",1,"spot1521"
"spot1522",1,"spot1522"
"spot1523",1,"spot1523"
"spot1524",1,"spot1524"
"spot1525",1,"spot1525"
"spot1526",1,"spot1526"
"spot1527",1,"spot1527"
"spot1529",1,"spot1529"
"spot1530",1,"spot1530"
"spot1532",1,"spot1532"
"spot1535",1,"spot1535"
"spot1537",1,"spot1537"
"spot1538",1,"spot1538"
"spot1539",1,"spot1539"
"spot1540",1,"spot1540"
"spot1541",1,"spot1541"
"spot1542",1,"spot1542"
"spot1543",1,"spot1543"
"spot1544",1,"spot1544"
"spot1546",1,"spot1546"
"spot1547",1,"spot1547"
"spot1548",1,"spot1548"
"spot1549",1,"spot1549"
"spot1550",1,"spot1550"
"spot1551",1,"spot1551"
"spot1552",1,"spot1552"
"spot1553",1,"spot1553"
"spot1554",1,"spot1554"
"spot1555",1,"spot1555"
"spot1556",1,"spot1556"
"spot1557",1,"spot1557"
"spot1560",1,"spot1560"
"spot1562",1,"spot1562"
"spot1563",1,"spot1563"
"spot1564",1,"spot1564"
"spot1565",1,"spot1565"
"spot1566",1,"spot1566"
"spot1567",1,"spot1567"
"spot1568",1,"spot1568"
"spot1570",1,"spot1570"
"spot1571",1,"spot1571"
"spot1572",1,"spot1572"
"spot1573",1,"spot1573"
"spot1574",1,"spot1574"
"spot1576",1,"spot1576"
"spot1577",1,"spot1577"
"spot1579",1,"spot1579"
"spot1580",1,"spot1580"
"spot1581",1,"spot1581"
"spot1582",1,"spot1582"
"spot1583",1,"spot1583"
"spot1584",1,"spot1584"
"spot1585",1,"spot1585"
"spot1586",1,"spot1586"
"spot1587",1,"spot1587"
"spot1588",1,"spot1588"
"spot1590",1,"spot1590"
"spot1592",1,"spot1592"
"spot1594",1,"spot1594"
"spot1595",1,"spot1595"
"spot1596",1,"spot1596"
"spot1597",1,"spot1597"
"spot1598",1,"spot1598"
"spot1599",1,"spot1599"
"spot1600",1,"spot1600"
"spot1601",2,"spot1601"
"spot1602",2,"spot1602"
"spot1603",2,"spot1603"
"spot1604",2,"spot1604"
"spot1605",2,"spot1605"
"spot1606",2,"spot1606"
"spot1607",2,"spot1607"
"spot1608",2,"spot1608"
"spot1609",2,"spot1609"
"spot1610",2,"spot1610"
"spot1612",2,"spot1612"
"spot1613",2,"spot1613"
"spot1614",2,"spot1614"
"spot1616",2,"spot1616"
"spot1617",2,"spot1617"
"spot1618",2,"spot1618"
"spot1619",2,"spot1619"
"spot1620",2,"spot1620"
"spot1621",2,"spot1621"
"spot1622",2,"spot1622"
"spot1623",2,"spot1623"
"spot1624",2,"spot1624"
"spot1625",2,"spot1625"
"spot1626",2,"spot1626"
