,sample,spot_name,cluster
1,1,spot1,0
2,1,spot2,0
3,1,spot3,0
4,1,spot4,0
5,1,spot5,0
6,1,spot6,0
7,1,spot7,0
8,1,spot8,0
9,1,spot9,0
10,1,spot10,0
11,1,spot11,0
12,1,spot12,0
13,1,spot13,0
14,1,spot14,0
15,1,spot15,0
16,1,spot16,0
17,1,spot17,1
18,1,spot18,1
19,1,spot19,0
20,1,spot20,1
21,1,spot21,0
22,1,spot22,0
23,1,spot23,0
24,1,spot24,1
25,1,spot25,0
26,1,spot26,1
27,1,spot27,0
28,1,spot28,0
29,1,spot29,0
30,1,spot30,1
31,1,spot31,0
32,1,spot32,0
33,1,spot33,0
34,1,spot34,0
35,1,spot35,0
36,1,spot36,0
37,1,spot37,0
38,1,spot38,0
39,1,spot39,0
40,1,spot40,0
41,1,spot41,0
42,1,spot42,0
43,1,spot43,0
44,1,spot44,0
45,1,spot45,0
46,1,spot46,1
47,1,spot47,0
48,1,spot48,1
49,1,spot49,0
50,1,spot50,0
51,1,spot51,0
52,1,spot52,0
53,1,spot53,0
54,1,spot54,0
55,1,spot55,0
56,1,spot56,0
57,1,spot57,1
58,1,spot58,0
59,1,spot59,0
60,1,spot60,0
61,1,spot61,0
62,1,spot62,0
63,1,spot63,0
64,1,spot64,0
65,1,spot65,1
66,1,spot66,0
67,1,spot67,0
68,1,spot68,0
69,1,spot69,0
70,1,spot70,0
71,1,spot71,0
72,1,spot72,0
73,1,spot73,0
74,1,spot74,0
75,1,spot75,0
76,1,spot76,1
77,1,spot77,1
78,1,spot78,0
79,1,spot79,1
80,1,spot80,0
81,1,spot81,1
82,1,spot82,0
83,1,spot83,1
84,1,spot84,0
85,1,spot85,0
86,1,spot86,0
87,1,spot87,0
88,1,spot88,0
89,1,spot89,0
90,1,spot90,1
91,1,spot91,0
92,1,spot92,0
93,1,spot93,0
94,1,spot94,0
95,1,spot95,1
96,1,spot96,0
97,1,spot97,0
98,1,spot98,0
99,1,spot99,0
100,1,spot100,0
101,1,spot101,1
102,1,spot102,1
103,1,spot103,1
104,1,spot104,1
105,1,spot105,1
106,1,spot106,2
107,1,spot107,1
108,1,spot108,2
109,1,spot109,1
110,1,spot110,1
111,1,spot111,1
112,1,spot112,1
113,1,spot113,1
114,1,spot114,1
115,1,spot115,1
116,1,spot116,1
117,1,spot117,1
118,1,spot118,1
119,1,spot119,1
120,1,spot120,1
121,1,spot121,1
122,1,spot122,1
123,1,spot123,1
124,1,spot124,1
125,1,spot125,1
126,1,spot126,1
127,1,spot127,1
128,1,spot128,1
129,1,spot129,1
130,1,spot130,1
131,1,spot131,1
132,1,spot132,1
133,1,spot133,1
134,1,spot134,1
135,1,spot135,2
136,1,spot136,1
137,1,spot137,1
138,1,spot138,1
139,1,spot139,1
140,1,spot140,1
141,1,spot141,1
142,1,spot142,1
143,1,spot143,1
144,1,spot144,1
145,1,spot145,1
146,1,spot146,1
147,1,spot147,1
148,1,spot148,1
149,1,spot149,1
150,1,spot150,1
151,1,spot151,1
152,1,spot152,1
153,1,spot153,1
154,1,spot154,1
155,1,spot155,1
156,1,spot156,1
157,1,spot157,1
158,1,spot158,1
159,1,spot159,1
160,1,spot160,1
161,1,spot161,1
162,1,spot162,1
163,1,spot163,1
164,1,spot164,1
165,1,spot165,1
166,1,spot166,1
167,1,spot167,1
168,1,spot168,1
169,1,spot169,1
170,1,spot170,1
171,1,spot171,2
172,1,spot172,1
173,1,spot173,2
174,1,spot174,1
175,1,spot175,1
176,1,spot176,1
177,1,spot177,1
178,1,spot178,1
179,1,spot179,1
180,1,spot180,1
181,1,spot181,1
182,1,spot182,1
183,1,spot183,1
184,1,spot184,1
185,1,spot185,1
186,1,spot186,2
187,1,spot187,1
188,1,spot188,1
189,1,spot189,1
190,1,spot190,1
191,1,spot191,1
192,1,spot192,1
193,1,spot193,1
194,1,spot194,1
195,1,spot195,1
196,1,spot196,1
197,1,spot197,1
198,1,spot198,1
199,1,spot199,1
200,1,spot200,1
201,1,spot201,1
202,1,spot202,2
203,1,spot203,2
204,1,spot204,1
205,1,spot205,2
206,1,spot206,2
207,1,spot207,1
208,1,spot208,1
209,1,spot209,2
210,1,spot210,1
211,1,spot211,2
212,1,spot212,2
213,1,spot213,2
214,1,spot214,2
215,1,spot215,2
216,1,spot216,1
217,1,spot217,3
218,1,spot218,3
219,1,spot219,2
220,1,spot220,1
221,1,spot221,2
222,1,spot222,2
223,1,spot223,2
224,1,spot224,1
225,1,spot225,2
226,1,spot226,2
227,1,spot227,1
228,1,spot228,2
229,1,spot229,2
230,1,spot230,2
231,1,spot231,2
232,1,spot232,2
233,1,spot233,2
234,1,spot234,1
235,1,spot235,1
236,1,spot236,1
237,1,spot237,2
238,1,spot238,2
239,1,spot239,2
240,1,spot240,1
241,1,spot241,2
242,1,spot242,1
243,1,spot243,1
244,1,spot244,2
245,1,spot245,2
246,1,spot246,1
247,1,spot247,2
248,1,spot248,2
249,1,spot249,1
250,1,spot250,1
251,1,spot251,2
252,1,spot252,2
253,1,spot253,1
254,1,spot254,2
255,1,spot255,1
256,1,spot256,1
257,1,spot257,2
258,1,spot258,2
259,1,spot259,1
260,1,spot260,2
261,1,spot261,2
262,1,spot262,1
263,1,spot263,2
